,"Release Type 
(Album, Single, EP)","Release  Title 
(Album title, Single title, EP title)","Main Artist 
",Featured Artist,"Track Title 
",UPC,"ISRC 
",Track Link,Genre,Sub Genre,"What is the basis of your claim?/Claim Type
(Sound Recording, Composition, Both)
","Role
(Composer, Writer, Author, Composer/Author)
","Percentage Claim Share
(Composition and/or Masters)","Recording Version, if applicable 
 (Ex., ""live"", ""dance remix"", etc)",Featured Instrument,Producer(s),"Recording Year
(MM/DD/YYYY)",Country of Recording,Writer(s) ,Composer(s) ,Publisher(s),Copyright Name,Copyright Year,"Release Date
(MM/DD/YYYY)",Country of Release ,Mood,Tags,Lyrics,Audio Language,"Explicit Content
(Y/N)","Release Label 
","Release Description
"
,ALBUM,Bashorun Gaa,9ice,,So Fun Won,8.60E+11,USA371554145,https://open.spotify.com/track/5QT4DcBaofdtXwqVErVWGy?si=f9f180ca2e584105,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Don't Go,8.60E+11,USA371554146,https://open.spotify.com/track/0VixiFDoePkEx4xVDoUvIv?si=270dda6102a941ba,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Buje Budanu,8.60E+11,USA371554147,https://open.spotify.com/track/0Y1KkoKdJRYAr5XJOiyKPU?si=37e158909cfa4210,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Certificate,9ice,,I wonder,8.60E+11,TCACG1563011,https://open.spotify.com/track/5SP5JHgEN3CrCmxeEpvXGz?si=2b5937edbb404979,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Fire Dancer,8.60E+11,TCACG1563012,https://open.spotify.com/track/1hW6uTiYGxPAdLnTrYqgdz?si=7dcec0b6ecf7415d,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Little Money,8.60E+11,TCACT1693223,https://open.spotify.com/track/2COy2ZGQA922UGzblhukcR?si=5f55ca0e78014e2f,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Music Daddy,8.60E+11,TCACT1693235,https://open.spotify.com/track/0wiSLzMrUQLFmhUa4u0PvY?si=49a87372c1454803,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Angela,8.60E+11,TCACT1693247,https://open.spotify.com/track/6rqqkMI94W5sUDI4JRW990?si=c9453f46bdb44cd1,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Story Skit,8.60E+11,TCACT1693236,https://open.spotify.com/track/20241MluCxylrRmP3CTmZW?si=980e31c5a51041c0,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
,ALBUM,Certificate,9ice,,Angela,8.60E+11,TCACT1693276,https://open.spotify.com/track/7797CWRbUrSn3cPnS7Lz6O?si=d77714e9f8c14cf7,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2007,,,,,,EN,,,
